model_name,mask_name,mask_x,mask_y,component_x,component_y,pixel_distance,norm_distance,prediction_area,gt_area,component_area,component_relative_area,component_intersection,component_union,component_iou,component_pw_recall,component_pw_precision,metric,threshold_pw,dice,fpr,dice_joint,component_precision_joint,component_recall_joint,relative_area_to_gt
8s,0.10121.jpg,510.5,532.5,510.31308249913695,533.6693130824991,1.184158450982152,0.017289198695179985,2902.0,2491,2897.0,0.9982770503101308,2491.0,2897.0,0.8598550224370038,1.0,0.8598550224370038,CORRECT_DETECTION,0.1,0.9246473645137342,,0.9246473645137342,0.8598550224370038,1.0,1.16298675230831
8s,0.10417.jpg,551.0,502.5,551.1980009519276,508.2055211803903,5.708955799167348,0.049787405225296635,10505.0,9469,10505.0,1.0,9254.0,10720.0,0.8632462686567164,0.9772943288626044,0.8809138505473584,CORRECT_DETECTION,0.1,0.9266045859617504,,0.9266045859617504,0.8809138505473584,0.9772943288626044,1.1094096525504278
8s,0.10187.jpg,550.5,507.5,549.8229636308987,509.9029155395252,2.4964737801901964,0.03420649169972144,3327.0,2438,3327.0,1.0,2436.0,3329.0,0.7317512766596576,0.9991796554552912,0.7321911632100991,CORRECT_DETECTION,0.1,0.8450997398091934,,0.8450997398091934,0.7321911632100991,0.9991796554552912,1.3646431501230516
8s,0.10672.jpg,544.0,478.5,542.974319175956,481.2854522364893,2.9682933336473027,0.02681544021181471,7087.0,5432,7087.0,1.0,5431.0,7088.0,0.76622460496614,0.9998159057437408,0.7663327218851418,CORRECT_DETECTION,0.1,0.8676411853981948,,0.8676411853981948,0.7663327218851418,0.9998159057437408,1.3046759941089838
8s,0.10766.jpg,639.0,449.0,1022.4324324324324,869.5675675675676,569.1199426577427,8.411138753666782,7298.0,5711,37.0,0.005069882159495752,0.0,5748.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.005672236700904492,0.0,0.0,0.0,0.006478725267028541
8s,0.10766.jpg,639.0,449.0,635.7427351604463,450.33025754028364,3.518431377542356,0.0519996090341908,7298.0,5711,7261.0,0.9949301178405042,5711.0,7261.0,0.7865307808841757,1.0,0.7865307808841757,CORRECT_DETECTION,0.1,0.8805118717237126,,0.8805118717237126,0.7865307808841757,1.0,1.271406058483628
8s,0.10106.jpg,476.0,526.5,480.6216596343178,533.0787623066104,8.039891246923744,0.10569045227736472,3555.0,2269,3555.0,1.0,2269.0,3555.0,0.6382559774964838,1.0,0.6382559774964838,CORRECT_DETECTION,0.1,0.7791895604395604,,0.7791895604395604,0.6382559774964838,1.0,1.5667695019832526
8s,0.10120.jpg,445.5,545.0,447.35610302351625,546.8085106382979,2.591491686797938,0.03649086614315279,2679.0,2103,2679.0,1.0,2096.0,2686.0,0.7803425167535368,0.9966714217784118,0.7823814856289659,CORRECT_DETECTION,0.1,0.876620660811376,,0.876620660811376,0.7823814856289659,0.9966714217784118,1.2738944365192582
8s,0.10070.jpg,531.5,540.5,531.3384335154827,538.6684881602914,1.8386243085285217,0.026979813222972875,2745.0,2367,2745.0,1.0,2340.0,2772.0,0.8441558441558441,0.988593155893536,0.8524590163934426,CORRECT_DETECTION,0.1,0.9154929577464788,,0.9154929577464788,0.8524590163934426,0.988593155893536,1.1596958174904943
8s,0.10550.jpg,515.0,495.0,873.5,204.0,461.7393745393607,1.671693619711862,53325.0,36377,6.0,0.00011251758087201122,0.0,36383.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.000133767334017033,0.0,0.0,0.0,0.0001649393847760948
8s,0.10550.jpg,515.0,495.0,831.1713011542497,578.6466421825812,327.04900614738466,1.1840569963415222,53325.0,36377,3812.0,0.07148616971401782,0.0,40189.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.0815278995658404,0.0,0.0,0.0,0.10479148912774555
8s,0.10550.jpg,515.0,495.0,790.7737083060823,700.0287769784172,343.63925500756426,1.244120778419154,53325.0,36377,1529.0,0.02867323019221753,0.0,37906.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.03351930812991198,0.0,0.0,0.0,0.042032053220441484
8s,0.10550.jpg,515.0,495.0,532.5512735003543,503.43599149610236,19.473396057353533,0.0705020055430101,53325.0,36377,47978.0,0.8997280825128926,36093.0,48262.0,0.7478554556379761,0.9921928691205982,0.7522822960523573,CORRECT_DETECTION,0.1,0.8557406199988146,,0.8557406199988146,0.7522822960523573,0.9921928691205982,1.3189103004645792
8s,0.10729.jpg,581.0,526.5,586.9759615384615,528.4107645403377,6.274004896219295,0.04611423230356397,8528.0,5681,8528.0,1.0,5678.0,8531.0,0.6655726175126011,0.99947192395705,0.6658067542213884,CORRECT_DETECTION,0.1,0.7992117671898092,,0.7992117671898092,0.6658067542213884,0.99947192395705,1.5011441647597255
8s,0.10620.jpg,492.5,524.5,603.0,0.3181818181818182,535.7021826653282,16.358048792101982,17493.0,944,22.0,0.0012576459155090606,0.0,966.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.002383661086732759,0.0,0.0,0.0,0.023305084745762712
8s,0.10620.jpg,492.5,524.5,677.9259916156078,32.78281199613028,525.5174510376078,16.047050737041236,17493.0,944,6202.0,0.35454181672669066,0.0,7146.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.5034295223020415,0.0,0.0,0.0,6.569915254237288
8s,0.10620.jpg,492.5,524.5,750.3703703703702,0.3333333333333333,584.1642083861321,17.83787136321939,17493.0,944,27.0,0.0015434745326702106,0.0,971.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.002924610051993068,0.0,0.0,0.0,0.028601694915254237
8s,0.10620.jpg,492.5,524.5,603.5,28.0,508.7565724391185,15.535245336980223,17493.0,944,2.0,0.00011433144686446008,0.0,946.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.00021693150387765064,0.0,0.0,0.0,0.00211864406779661
8s,0.10620.jpg,492.5,524.5,1023.0,164.5,641.1164090865246,19.576947491749234,17493.0,944,6.0,0.00034299434059338016,0.0,950.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.0006506533644201053,0.0,0.0,0.0,0.006355932203389831
8s,0.10620.jpg,492.5,524.5,1023.0,172.0,636.9352400362222,19.449272508248924,17493.0,944,1.0,5.716572343223003e-05,0.0,945.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.00010847163466753444,0.0,0.0,0.0,0.001059322033898305
8s,0.10620.jpg,492.5,524.5,1023.0,508.0,530.7565355226443,16.20702992399503,17493.0,944,1.0,5.716572343223003e-05,0.0,945.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.00010847163466753444,0.0,0.0,0.0,0.001059322033898305
